player_id,player_name,nationality,team_id,team_name,goals,assists,penalties
9434,Victor Osimhen,Nigeria,610,Galatasaray SK,6,,3
3374,Kylian Mbappé,France,86,Real Madrid CF,5,,3
8004,Harry Kane,England,5,FC Bayern München,5,,1
38101,Erling Haaland,Norway,65,Manchester City FC,5,,
3331,Marcus Rashford,England,81,FC Barcelona,4,1,
7848,Anthony Gordon,England,67,Newcastle United FC,4,1,2
3220,Lautaro Martínez,Argentina,108,FC Internazionale Milano,4,,
61450,Martinelli,Brazil,57,Arsenal FC,3,1,
101074,Felix Kalu Nmecha,Germany,4,Borussia Dortmund,3,,
82002,Dušan Vlahović,Serbia,109,Juventus FC,3,1,
147779,Leandro Andrade,Portugal,611,Qarabağ Ağdam FK,3,,
70,Marcos Llorente,Spain,78,Club Atlético de Madrid,3,,
82404,Jonathan Burkardt,Germany,19,Eintracht Frankfurt,3,1,
119703,Igor Paixão,Brazil,516,Olympique de Marseille,3,,
8076,Harvey Barnes,England,67,Newcastle United FC,3,1,
81565,Gorka Guruzeta,Spain,77,Athletic Club,3,,
214533,Fermín López,Spain,81,FC Barcelona,3,2,
22396,Luis Díaz,Colombia,5,FC Bayern München,3,,
8805,Ramy Bensebaini,Algeria,4,Borussia Dortmund,2,,2
285466,Youssoupha Mbodji,Senegal,930,SK Slavia Praha,2,,
8685,Marcus Thuram-Ulien,France,108,FC Internazionale Milano,2,1,
7869,Virgil van Dijk,Netherlands,64,Liverpool FC,2,,
113285,Khvicha Kvaratskhelia,Georgia,524,Paris Saint-Germain FC,2,1,
144570,Nuno Mendes,Portugal,524,Paris Saint-Germain FC,2,2,
101431,Gonçalo Ramos,Portugal,524,Paris Saint-Germain FC,2,,
177321,Nicolo Tresoldi,Germany,851,Club Brugge KV,2,1,
79906,Yunus Akgün,Turkey,610,Galatasaray SK,2,,
37332,Trincão,Portugal,498,Sporting Clube de Portugal,2,1,
220542,Alisson Santos,Brazil,498,Sporting Clube de Portugal,2,,
130420,Lazar Samardzic,Serbia,102,Atalanta BC,2,,1
98571,Julián Álvarez,Argentina,78,Club Atlético de Madrid,2,1,1
37916,Jens Hauge,Norway,5721,FK Bodø/Glimt,2,,
131177,Mickey van de Ven,Netherlands,73,Tottenham Hotspur FC,2,,
152515,Nicolas Jackson,Senegal,5,FC Bayern München,2,1,
7417,Denzel Dumfries,Netherlands,108,FC Internazionale Milano,2,,
33154,Ferrán Torres,Spain,81,FC Barcelona,2,,
130173,Ismael Saibari,Morocco,674,PSV,2,,
99813,Bukayo Saka,England,57,Arsenal FC,2,,1
152770,Rasmus Højlund,Denmark,113,SSC Napoli,2,,
202283,Lamine Yamal,Spain,81,FC Barcelona,2,,1
33524,Aleix García,Spain,3,Bayer 04 Leverkusen,2,,1
177522,Desire Doue,France,524,Paris Saint-Germain FC,2,,
8279,Viktor Gyökeres,Sweden,57,Arsenal FC,2,1,
7905,Scott McTominay,Scotland,113,SSC Napoli,2,,
15781,Dennis Man,Romania,674,PSV,2,,
119731,Ricardo Pepi,USA,674,PSV,2,1,
244778,Estevao,Brazil,61,Chelsea FC,2,1,1
7935,Mikel Merino,Spain,57,Arsenal FC,2,,
7888,Phil Foden,England,65,Manchester City FC,2,1,
214423,Forbs,Portugal,851,Club Brugge KV,2,2,
